frame_idx,timestamp,track_id,x1,y1,x2,y2,conf,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
0,0.0,1,508.74,317.1,742.27,876.25,0.9042,564.63,401.73,0.0641,563.17,388.62,0.1513,574.68,386.02,0.0029,576.13,393.83,0.9844,635.94,383.87,0.2055,592.0,478.11,0.9983,682.95,450.25,0.9599,591.37,600.26,0.9821,692.0,552.81,0.3754,545.61,577.98,0.8226,612.78,559.36,0.1644,643.98,665.18,0.9955,703.29,653.22,0.9791,660.47,755.73,0.9749,686.85,733.06,0.9048,708.03,845.15,0.7926,701.85,816.57,0.6295
0,0.0,2,771.45,494.65,845.0,889.87,0.6311,810.8,627.07,0.0426,808.28,609.87,0.1043,814.91,608.64,0.0063,814.17,625.17,0.5287,835.1,622.39,0.0228,818.96,773.45,0.6394,835.67,759.69,0.0542,802.99,890.0,0.1953,814.78,881.51,0.0024,800.72,852.86,0.1031,808.45,850.98,0.0045,816.27,881.24,0.0234,830.12,875.74,0.0042,802.4,817.34,0.0324,807.98,813.01,0.0061,807.52,814.68,0.0384,806.71,814.94,0.0124
0,0.0,3,537.99,157.28,642.4,330.34,0.594,558.11,196.57,0.7211,566.19,191.1,0.8479,559.28,189.46,0.1907,591.59,196.35,0.8701,566.0,191.91,0.016,620.79,240.5,0.9371,556.52,227.39,0.7625,624.64,318.78,0.8877,542.59,281.08,0.3637,579.39,339.89,0.705,542.69,288.89,0.2662,602.29,349.55,0.5737,559.1,341.19,0.3934,588.08,392.21,0.0291,536.89,383.86,0.0115,596.87,417.49,0.0034,549.32,404.5,0.0017
0,0.0,4,572.08,0.37,659.92,155.1,0.4842,600.68,21.92,0.928,605.26,16.02,0.954,597.3,16.69,0.7023,619.51,15.24,0.9056,597.55,17.09,0.1664,641.53,43.61,0.9806,593.55,44.75,0.8986,643.54,84.73,0.9344,584.34,85.16,0.429,609.33,78.31,0.8428,593.56,78.79,0.3854,639.31,128.9,0.8167,606.22,128.55,0.6449,641.01,174.41,0.2272,599.19,173.87,0.094,645.47,193.48,0.0396,605.26,191.99,0.0193
1,0.0333,1,508.69,316.99,742.29,876.31,0.9039,564.55,401.63,0.0633,563.06,388.51,0.1498,574.66,385.91,0.0028,576.08,393.72,0.9843,636.08,383.75,0.2031,591.97,478.11,0.9982,683.2,450.27,0.9594,591.38,600.38,0.9821,692.15,553.06,0.3738,545.71,577.82,0.8236,612.98,559.26,0.1645,643.99,665.22,0.9954,703.47,653.27,0.9787,660.5,755.86,0.9744,687.03,733.2,0.9028,708.05,845.22,0.7884,701.74,816.62,0.623
1,0.0333,2,770.96,494.65,844.54,889.89,0.6213,810.72,627.21,0.043,808.14,609.96,0.1061,814.82,608.7,0.0063,814.04,625.25,0.5342,835.13,622.41,0.0227,819.03,773.79,0.6438,836.27,759.64,0.0537,802.74,890.0,0.198,815.11,880.9,0.0023,799.6,853.59,0.1044,807.62,851.2,0.0044,816.41,880.16,0.0234,830.56,874.46,0.0042,802.68,816.71,0.0327,808.16,812.16,0.006,807.23,815.05,0.0385,805.76,815.24,0.0123
1,0.0333,3,537.94,157.28,642.31,330.28,0.605,557.88,195.9,0.7265,566.06,190.46,0.852,559.07,188.82,0.1996,591.57,196.04,0.8711,565.6,191.61,0.0168,621.09,240.71,0.9388,555.21,227.77,0.7656,625.53,318.85,0.889,541.41,281.52,0.3625,579.52,338.49,0.7066,542.62,288.01,0.2645,601.82,350.06,0.5793,557.54,341.8,0.3968,588.61,394.1,0.0288,535.94,385.83,0.0112,597.21,418.75,0.0033,548.5,405.92,0.0017
1,0.0333,4,572.18,0.36,660.06,155.15,0.4871,600.77,21.82,0.9262,605.31,15.93,0.9528,597.4,16.58,0.6982,619.49,15.14,0.9038,597.66,16.93,0.1654,641.54,43.5,0.9802,593.67,44.58,0.8975,643.79,84.83,0.9339,584.75,85.19,0.4296,609.67,78.29,0.8416,594.12,78.67,0.3854,639.45,128.87,0.814,606.44,128.51,0.6416,641.15,174.19,0.2235,599.28,173.63,0.0926,645.58,192.85,0.039,605.27,191.32,0.019
2,0.0667,1,508.68,316.97,742.29,876.32,0.9039,564.55,401.63,0.0633,563.06,388.51,0.1498,574.66,385.91,0.0028,576.08,393.72,0.9843,636.08,383.75,0.2031,591.97,478.11,0.9982,683.2,450.27,0.9594,591.38,600.38,0.9821,692.15,553.06,0.3738,545.71,577.82,0.8236,612.98,559.26,0.1645,643.99,665.22,0.9954,703.47,653.27,0.9787,660.5,755.86,0.9744,687.03,733.2,0.9028,708.05,845.22,0.7884,701.74,816.62,0.623
2,0.0667,2,770.87,494.65,844.47,889.89,0.6213,810.72,627.21,0.043,808.14,609.96,0.1061,814.82,608.7,0.0063,814.04,625.25,0.5342,835.13,622.41,0.0227,819.03,773.79,0.6438,836.27,759.64,0.0537,802.74,890.0,0.198,815.11,880.9,0.0023,799.6,853.59,0.1044,807.62,851.2,0.0044,816.41,880.16,0.0234,830.56,874.46,0.0042,802.68,816.71,0.0327,808.16,812.16,0.006,807.23,815.05,0.0385,805.76,815.24,0.0123
2,0.0667,3,537.93,157.28,642.3,330.26,0.605,557.88,195.9,0.7265,566.06,190.46,0.852,559.07,188.82,0.1996,591.57,196.04,0.8711,565.6,191.61,0.0168,621.09,240.71,0.9388,555.21,227.77,0.7656,625.53,318.85,0.889,541.41,281.52,0.3625,579.52,338.49,0.7066,542.62,288.01,0.2645,601.82,350.06,0.5793,557.54,341.8,0.3968,588.61,394.1,0.0288,535.94,385.83,0.0112,597.21,418.75,0.0033,548.5,405.92,0.0017
2,0.0667,4,572.2,0.36,660.09,155.16,0.4871,600.77,21.82,0.9262,605.31,15.93,0.9528,597.4,16.58,0.6982,619.49,15.14,0.9038,597.66,16.93,0.1654,641.54,43.5,0.9802,593.67,44.58,0.8975,643.79,84.83,0.9339,584.75,85.19,0.4296,609.67,78.29,0.8416,594.12,78.67,0.3854,639.45,128.87,0.814,606.44,128.51,0.6416,641.15,174.19,0.2235,599.28,173.63,0.0926,645.58,192.85,0.039,605.27,191.32,0.019
3,0.1,1,508.8,317.27,742.26,876.21,0.9053,564.79,401.93,0.0655,563.11,388.8,0.1573,575.14,386.22,0.0028,576.16,394.08,0.9842,636.91,384.17,0.193,592.74,478.44,0.9982,683.47,451.16,0.9552,592.04,600.73,0.9821,690.91,554.19,0.3518,546.02,577.7,0.8257,609.98,558.04,0.1577,645.33,665.87,0.9947,704.57,654.09,0.9748,660.47,752.63,0.9717,686.07,730.35,0.8896,707.0,845.21,0.7728,700.29,816.33,0.5952
3,0.1,2,770.82,493.69,844.63,889.87,0.6192,809.03,624.91,0.0387,806.54,607.84,0.0999,813.5,606.7,0.0055,813.15,624.4,0.5283,834.74,621.64,0.0197,819.2,772.89,0.634,835.42,758.67,0.0459,803.48,890.0,0.2043,815.81,879.54,0.0021,799.85,856.33,0.1085,808.44,850.92,0.0041,816.1,877.14,0.0224,829.61,871.32,0.0037,803.05,808.38,0.0336,807.24,804.08,0.0059,808.17,811.64,0.0412,806.51,811.78,0.0128
3,0.1,3,537.98,157.18,642.37,330.22,0.6245,557.62,195.35,0.6867,565.54,190.01,0.8273,559.13,188.52,0.1641,591.44,196.04,0.8632,566.88,191.97,0.0142,621.53,241.61,0.9325,556.8,228.45,0.7472,624.16,319.99,0.8867,542.18,281.16,0.3597,579.88,339.18,0.7035,544.17,285.27,0.2645,601.81,350.48,0.5817,558.19,342.03,0.4005,588.41,396.29,0.029,536.26,387.82,0.0114,596.0,420.35,0.0033,547.24,407.35,0.0017
3,0.1,4,572.84,0.27,660.35,154.42,0.4689,600.59,22.22,0.9295,606.09,16.46,0.9552,597.05,16.99,0.7157,620.97,15.64,0.9073,595.48,17.16,0.168,640.52,40.95,0.9861,590.37,42.47,0.9272,643.66,82.52,0.9479,581.17,83.59,0.4912,612.17,78.63,0.8652,590.58,80.52,0.4233,635.33,125.06,0.8952,599.92,124.81,0.7774,640.7,172.46,0.3421,591.64,172.07,0.1541,646.14,200.02,0.0727,595.63,198.85,0.0358
4,0.1333,1,508.99,316.68,742.76,876.25,0.9045,566.36,401.17,0.0667,564.47,387.96,0.1488,576.43,385.26,0.003,576.43,393.04,0.9825,636.88,382.99,0.2042,592.61,478.44,0.9982,683.07,450.19,0.9593,592.55,600.2,0.9834,692.09,551.66,0.3936,545.1,576.97,0.8434,612.37,557.24,0.1853,644.41,665.95,0.9952,703.16,653.84,0.9776,660.57,756.88,0.9713,685.93,733.93,0.8914,708.16,848.39,0.7543,700.76,819.47,0.5749
4,0.1333,2,771.85,498.93,844.71,889.89,0.4728,820.68,628.6,0.0754,819.49,610.18,0.1141,822.25,610.0,0.0182,824.85,624.05,0.3199,835.36,624.02,0.0338,828.23,768.24,0.388,836.43,766.29,0.0931,817.69,890.0,0.0901,829.28,890.0,0.007,808.82,867.87,0.0738,816.33,878.35,0.0117,825.62,884.41,0.0112,834.19,883.21,0.0043,813.07,797.05,0.0207,814.58,797.37,0.008,818.12,801.65,0.0338,817.62,802.14,0.0178
4,0.1333,3,539.4,153.98,646.17,330.99,0.4653,559.89,204.94,0.6395,566.52,198.34,0.7935,562.01,196.76,0.0892,593.89,197.68,0.8651,576.71,193.22,0.0069,626.54,240.04,0.9114,575.06,222.37,0.7162,621.36,327.11,0.8649,555.69,279.03,0.359,580.38,331.8,0.6873,550.34,263.74,0.2887,611.68,354.43,0.4789,577.22,343.4,0.3297,591.47,380.26,0.0258,545.06,369.67,0.0108,596.82,415.82,0.0033,547.48,398.69,0.0018
4,0.1333,4,574.35,0.26,658.97,148.97,0.5077,601.1,22.2,0.9252,606.47,16.48,0.9503,597.5,17.02,0.7157,620.96,15.71,0.8951,595.56,17.27,0.1762,640.48,41.08,0.9833,590.31,42.57,0.9211,643.96,82.91,0.939,581.46,83.66,0.4943,611.86,79.08,0.8462,590.21,80.37,0.419,634.92,124.4,0.8635,599.51,124.15,0.7322,640.61,170.41,0.2615,590.96,170.0,0.1169,645.41,196.28,0.05,594.15,195.08,0.0255
5,0.1667,1,509.03,316.49,742.92,876.2,0.904,566.36,401.17,0.0676,564.46,387.93,0.1512,576.37,385.24,0.003,576.54,392.9,0.9824,636.77,382.91,0.2026,592.72,478.55,0.9982,682.99,450.52,0.9579,592.3,600.51,0.9833,691.65,552.68,0.3847,545.06,576.77,0.8415,611.44,557.81,0.1808,644.4,666.3,0.995,702.99,654.33,0.9765,661.47,759.75,0.9691,686.78,737.03,0.8831,708.56,849.65,0.7368,700.75,821.03,0.5505
5,0.1667,2,772.33,499.51,845.0,889.89,0.4814,820.84,628.42,0.0749,819.42,609.68,0.1143,822.28,609.49,0.0177,824.36,623.0,0.3224,835.0,623.04,0.0331,827.86,768.87,0.3955,836.46,766.72,0.0906,817.95,890.0,0.0925,829.55,890.0,0.0066,808.83,867.08,0.0761,816.4,876.78,0.0115,825.29,885.46,0.0113,834.06,884.17,0.0042,812.5,798.99,0.0208,814.19,799.24,0.0077,818.33,801.61,0.0334,817.33,802.28,0.0172
5,0.1667,3,539.81,152.81,647.44,331.29,0.4712,559.75,204.73,0.6453,566.42,198.07,0.7983,561.81,196.51,0.0916,593.89,197.42,0.8671,576.37,193.03,0.007,626.69,240.0,0.9128,574.67,222.51,0.7191,621.66,327.23,0.8655,555.44,279.45,0.3588,580.18,331.64,0.6878,550.21,264.02,0.2883,611.91,354.71,0.4791,577.1,343.76,0.3295,591.78,380.42,0.0257,544.95,369.89,0.0108,597.24,415.81,0.0032,547.64,398.78,0.0018
5,0.1667,4,574.78,0.25,658.58,147.16,0.5052,601.09,22.2,0.9252,606.47,16.48,0.9503,597.49,17.02,0.7159,620.96,15.71,0.8951,595.57,17.27,0.1764,640.48,41.09,0.9833,590.32,42.57,0.9212,643.98,82.9,0.939,581.51,83.64,0.4945,611.87,79.06,0.8463,590.29,80.33,0.4192,634.94,124.41,0.8637,599.53,124.16,0.7326,640.66,170.43,0.2619,591.03,170.02,0.1172,645.45,196.25,0.0501,594.23,195.05,0.0255
6,0.2,1,509.02,316.44,742.97,876.18,0.9042,566.3,401.06,0.0671,564.38,387.83,0.1507,576.37,385.12,0.0029,576.52,392.84,0.9825,636.86,382.79,0.2005,592.86,478.72,0.9982,682.95,450.57,0.9575,592.37,600.57,0.9834,691.63,552.58,0.3822,545.04,576.73,0.8424,611.59,557.89,0.18,644.59,666.2,0.995,703.06,654.18,0.9765,661.61,760.21,0.9692,686.8,737.41,0.8828,708.28,849.85,0.7365,700.65,821.13,0.5491
