frame_idx,timestamp,track_id,x1,y1,x2,y2,conf,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf
0,0.0,1,514.58,321.36,737.02,872.56,0.8833,570.15,393.38,0.0638,568.48,385.8,0.107,582.92,380.13,0.0127,581.84,395.01,0.8384,639.79,378.6,0.5707,597.78,487.14,0.9985,684.76,446.37,0.9793,593.49,602.98,0.995,703.38,532.24,0.3488,557.63,583.12,0.9642,621.62,553.56,0.1145,636.54,641.03,0.997,698.27,619.25,0.9894,662.38,734.95,0.9855,691.98,691.64,0.9636,698.31,827.53,0.9622,717.81,783.14,0.9681
0,0.0,2,616.61,152.99,782.15,679.04,0.8072,614.3,222.62,0.0797,610.96,214.42,0.1189,623.91,209.8,0.0085,622.58,214.75,0.8834,668.72,201.32,0.2401,672.4,278.91,0.9961,701.12,241.7,0.9616,689.35,388.44,0.9795,699.33,320.74,0.2407,687.99,466.81,0.9352,668.4,393.94,0.0796,703.85,438.12,0.9879,731.35,420.34,0.9596,700.56,551.99,0.9837,740.82,532.35,0.9197,719.12,651.78,0.9653,772.09,626.97,0.8993
0,0.0,3,609.7,151.66,775.79,681.08,0.8034,614.19,221.38,0.0884,612.66,213.4,0.1371,623.57,207.04,0.0098,623.99,214.93,0.8773,665.78,198.46,0.2435,677.84,281.35,0.9985,700.75,238.84,0.9436,695.19,388.95,0.9938,699.47,322.89,0.1832,689.37,469.01,0.9211,663.59,389.51,0.0469,700.75,437.67,0.9876,725.93,416.55,0.9486,703.75,551.59,0.9764,739.7,532.14,0.9092,725.35,653.25,0.9398,771.4,632.83,0.8771
0,0.0,4,767.92,497.49,845.0,890.0,0.6359,817.73,628.75,0.0555,819.07,616.24,0.1071,821.55,615.01,0.0213,822.92,632.25,0.2483,842.1,629.78,0.0396,816.65,763.26,0.5243,831.66,756.79,0.039,805.72,872.72,0.1002,811.42,864.96,0.003,796.09,864.62,0.0379,790.93,848.95,0.008,815.7,830.47,0.0274,828.57,829.08,0.0073,810.97,777.78,0.1182,819.65,771.04,0.0311,818.03,874.57,0.0184,812.31,868.18,0.0056
0,0.0,5,568.66,0.0,655.38,154.55,0.6179,601.4,23.42,0.9824,606.68,17.26,0.9881,597.2,18.31,0.8858,620.64,14.48,0.9691,593.27,17.57,0.109,637.42,42.1,0.9991,589.87,42.59,0.9824,645.48,87.73,0.9955,576.16,82.76,0.7694,611.56,79.61,0.9854,577.18,78.69,0.749,625.91,125.31,0.9703,593.8,123.88,0.8872,628.19,174.58,0.3336,591.37,172.05,0.1139,633.41,206.47,0.0554,592.36,201.46,0.0201
1,0.1429,1,514.66,322.13,736.86,872.64,0.8886,571.44,393.13,0.0537,569.61,385.55,0.0899,584.0,380.04,0.0112,581.78,394.76,0.8403,640.02,378.71,0.5885,597.31,486.69,0.9986,685.8,446.04,0.981,592.85,601.69,0.9951,706.07,529.63,0.3527,557.56,582.73,0.9611,625.22,552.34,0.1072,636.78,641.35,0.997,699.22,620.12,0.9899,662.59,734.13,0.9839,693.68,693.39,0.9636,698.61,827.17,0.958,718.11,787.42,0.9653
1,0.1429,2,619.88,149.16,786.15,678.02,0.8622,618.91,218.4,0.0377,614.47,211.19,0.074,631.76,205.28,0.0062,625.45,214.19,0.884,683.28,197.66,0.3398,678.39,279.49,0.996,718.54,240.46,0.9716,690.96,386.05,0.9767,730.38,318.55,0.2643,690.1,463.84,0.9238,691.84,383.23,0.0672,707.76,438.86,0.9915,740.72,419.59,0.979,705.74,550.76,0.9843,743.33,531.32,0.9619,727.92,647.16,0.962,773.1,619.99,0.9474
1,0.1429,4,774.22,487.12,845.0,890.0,0.6282,832.74,625.14,0.0393,832.4,610.47,0.0516,832.85,610.34,0.0298,827.49,623.22,0.1285,840.58,624.8,0.0718,822.83,758.44,0.4655,830.54,763.78,0.1096,818.29,879.58,0.1199,818.77,889.49,0.0091,804.43,872.11,0.0385,802.5,877.43,0.0105,825.47,854.98,0.0132,832.5,858.46,0.0056,817.08,813.19,0.0205,827.34,808.16,0.0085,826.47,865.64,0.0051,819.09,859.14,0.0024
1,0.1429,5,572.28,0.0,656.63,150.36,0.4541,601.48,23.01,0.9827,607.39,17.45,0.9875,597.38,17.34,0.8647,621.4,16.58,0.9595,592.78,16.65,0.1312,637.44,42.64,0.9987,590.0,41.98,0.9675,645.0,85.51,0.9946,581.49,80.24,0.5134,608.82,78.65,0.9768,587.04,72.41,0.5013,629.46,125.14,0.9529,596.4,123.73,0.8295,629.8,172.4,0.2644,590.4,171.17,0.0707,634.46,202.83,0.0415,594.1,201.63,0.0117
2,0.2857,1,513.87,317.05,738.11,872.59,0.8882,569.98,391.26,0.0443,567.32,383.62,0.0774,583.04,378.0,0.0097,577.62,393.65,0.8413,640.11,377.21,0.6014,597.16,487.2,0.9986,686.1,445.87,0.9818,592.8,601.15,0.9956,709.01,532.92,0.3941,558.07,581.56,0.9646,630.91,561.06,0.1239,638.91,641.7,0.9971,700.95,620.13,0.9897,661.49,732.84,0.9859,692.03,692.15,0.964,700.2,827.1,0.9634,718.43,786.35,0.9657
