frame_idx,time,track_id,nose_x,nose_y,nose_conf,left_ear_conf,right_ear_conf,left_eye_conf,right_eye_conf,left_shoulder_conf,right_shoulder_conf,shoulder_width,head_center_x,head_center_y,head_width,head_width_source,offset,offset_reason,threshold,side,prev_side,turn_recorded,turns_in_window,max_turns,detected,confidence
570,19.0,1,593.3,440.3,0.406,0.973,0.099,0.542,0.018,0.998,0.948,70.9,,,35.4,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
570,19.0,2,593.6,112.7,0.965,0.899,0.308,0.968,0.826,0.983,0.924,33.7,595.6,105.1,16.9,shoulders*0.5,-0.1204,ok,0.3,center,center,False,0,2,False,0.0
570,19.0,3,532.6,72.3,0.655,0.82,0.047,0.703,0.163,0.91,0.829,6.7,532.6,72.3,3.4,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
570,19.0,4,580.5,36.5,0.905,0.888,0.155,0.94,0.652,0.969,0.873,42.8,580.6,30.7,21.4,shoulders*0.5,-0.0049,ok,0.3,center,center,False,0,2,False,0.0
570,19.0,5,513.0,211.7,0.657,0.904,0.095,0.73,0.098,0.986,0.871,60.4,513.0,211.7,30.2,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
571,19.03,1,593.3,440.3,0.406,0.973,0.099,0.542,0.018,0.998,0.948,70.9,,,35.4,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
571,19.03,2,593.6,112.7,0.965,0.899,0.308,0.968,0.826,0.983,0.924,33.7,595.6,105.1,16.9,shoulders*0.5,-0.1204,ok,0.3,center,center,False,0,2,False,0.0
571,19.03,3,532.6,72.3,0.655,0.82,0.047,0.703,0.163,0.91,0.829,6.7,532.6,72.3,3.4,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
571,19.03,4,580.5,36.5,0.905,0.888,0.155,0.94,0.652,0.969,0.873,42.8,580.6,30.7,21.4,shoulders*0.5,-0.0049,ok,0.3,center,center,False,0,2,False,0.0
571,19.03,5,513.0,211.7,0.657,0.904,0.095,0.73,0.098,0.986,0.871,60.4,513.0,211.7,30.2,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
572,19.07,1,593.7,439.8,0.383,0.974,0.095,0.53,0.016,0.998,0.946,71.9,,,35.9,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
572,19.07,2,590.2,114.5,0.966,0.884,0.326,0.965,0.825,0.986,0.924,43.0,592.0,107.4,21.5,shoulders*0.5,-0.0821,ok,0.3,center,center,False,0,2,False,0.0
572,19.07,3,533.3,71.8,0.845,0.935,0.044,0.874,0.223,0.952,0.906,10.2,533.3,71.8,5.1,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
572,19.07,4,580.3,35.8,0.892,0.887,0.126,0.932,0.594,0.97,0.871,41.6,580.4,30.0,20.8,shoulders*0.5,-0.0064,ok,0.3,center,center,False,0,2,False,0.0
572,19.07,5,514.3,204.8,0.752,0.876,0.106,0.777,0.156,0.984,0.899,60.6,514.3,204.8,30.3,shoulders*0.5,0.0,ok,0.3,center,center,False,0,2,False,0.0
573,19.1,1,593.7,439.8,0.383,0.974,0.095,0.529,0.016,0.998,0.946,71.9,,,35.9,shoulders*0.5,,head_yaw_offset=None,0.3,none,none,False,0,2,False,0.0
