frame_idx,timestamp,track_id,nose_conf,left_eye_conf,right_eye_conf,left_ear_conf,right_ear_conf,left_shoulder_conf,right_shoulder_conf,left_hip_conf,right_hip_conf,face_score,face_seen,body_ok,body_visible_count,face_state,face_visible_count,face_hidden_count,turn_event,turns_in_window,turns_exceeded,detection_confidence,turn_frame_indices
0,0.000,1,0.064,0.151,0.003,0.984,0.206,0.998,0.960,0.995,0.979,0.200,False,True,4,uncertain,0,0,,0,False,0.000,[]
0,0.000,2,0.043,0.104,0.006,0.529,0.023,0.639,0.054,0.023,0.004,0.200,False,False,1,uncertain,0,0,,0,False,0.000,[]
0,0.000,3,0.721,0.848,0.191,0.870,0.016,0.937,0.762,0.574,0.393,0.600,True,True,3,uncertain,1,0,,0,False,0.000,[]
0,0.000,4,0.928,0.954,0.702,0.906,0.166,0.981,0.899,0.817,0.645,0.800,True,True,4,uncertain,1,0,,0,False,0.000,[]
1,0.033,1,0.063,0.150,0.003,0.984,0.203,0.998,0.959,0.995,0.979,0.200,False,True,4,uncertain,0,0,,0,False,0.000,[]
1,0.033,2,0.043,0.106,0.006,0.534,0.023,0.644,0.054,0.023,0.004,0.200,False,False,1,uncertain,0,0,,0,False,0.000,[]
1,0.033,3,0.726,0.852,0.200,0.871,0.017,0.939,0.766,0.579,0.397,0.600,True,True,3,uncertain,2,0,,0,False,0.000,[]
1,0.033,4,0.926,0.953,0.698,0.904,0.165,0.980,0.898,0.814,0.642,0.800,True,True,4,uncertain,2,0,,0,False,0.000,[]
2,0.067,1,0.063,0.150,0.003,0.984,0.203,0.998,0.959,0.995,0.979,0.200,False,True,4,uncertain,0,0,,0,False,0.000,[]
2,0.067,2,0.043,0.106,0.006,0.534,0.023,0.644,0.054,0.023,0.004,0.200,False,False,1,uncertain,0,0,,0,False,0.000,[]
2,0.067,3,0.726,0.852,0.200,0.871,0.017,0.939,0.766,0.579,0.397,0.600,True,True,3,visible,3,0,,0,False,0.000,[]
2,0.067,4,0.926,0.953,0.698,0.904,0.165,0.980,0.898,0.814,0.642,0.800,True,True,4,visible,3,0,,0,False,0.000,[]
3,0.100,1,0.066,0.157,0.003,0.984,0.193,0.998,0.955,0.995,0.975,0.200,False,True,4,uncertain,0,0,,0,False,0.000,[]
3,0.100,2,0.039,0.100,0.005,0.528,0.020,0.634,0.046,0.022,0.004,0.200,False,False,1,uncertain,0,0,,0,False,0.000,[]
3,0.100,3,0.687,0.827,0.164,0.863,0.014,0.933,0.747,0.582,0.401,0.600,True,True,4,visible,4,0,,0,False,0.000,[]
3,0.100,4,0.930,0.955,0.716,0.907,0.168,0.986,0.927,0.895,0.777,0.800,True,True,4,visible,4,0,,0,False,0.000,[]
4,0.133,1,0.067,0.149,0.003,0.983,0.204,0.998,0.959,0.995,0.978,0.200,False,True,4,uncertain,0,0,,0,False,0.000,[]
4,0.133,2,0.075,0.114,0.018,0.320,0.034,0.388,0.093,0.011,0.004,0.000,False,False,0,uncertain,0,0,,0,False,0.000,[]
4,0.133,3,0.639,0.793,0.089,0.865,0.007,0.911,0.716,0.479,0.330,0.600,True,True,3,visible,5,0,,0,False,0.000,[]
4,0.133,4,0.925,0.950,0.716,0.895,0.176,0.983,0.921,0.864,0.732,0.800,True,True,4,visible,5,0,,0,False,0.000,[]
5,0.167,1,0.068,0.151,0.003,0.982,0.203,0.998,0.958,0.995,0.977,0.200,False,True,4,uncertain,0,0,,0,False,0.000,[]
5,0.167,2,0.075,0.114,0.018,0.322,0.033,0.395,0.091,0.011,0.004,0.000,False,False,0,uncertain,0,0,,0,False,0.000,[]
5,0.167,3,0.645,0.798,0.092,0.867,0.007,0.913,0.719,0.479,0.329,0.600,True,True,3,visible,6,0,,0,False,0.000,[]
5,0.167,4,0.925,0.950,0.716,0.895,0.176,0.983,0.921,0.864,0.733,0.800,True,True,4,visible,6,0,,0,False,0.000,[]
6,0.200,1,0.067,0.151,0.003,0.982,0.200,0.998,0.957,0.995,0.977,0.200,False,True,4,uncertain,0,0,,0,False,0.000,[]
6,0.200,2,0.076,0.116,0.018,0.324,0.033,0.398,0.089,0.011,0.004,0.000,False,False,0,uncertain,0,0,,0,False,0.000,[]
6,0.200,3,0.645,0.798,0.092,0.867,0.007,0.913,0.719,0.479,0.329,0.600,True,True,3,visible,7,0,,0,False,0.000,[]
6,0.200,4,0.925,0.950,0.716,0.895,0.176,0.983,0.921,0.864,0.733,0.800,True,True,4,visible,7,0,,0,False,0.000,[]
7,0.233,1,0.067,0.150,0.003,0.982,0.201,0.998,0.958,0.995,0.977,0.200,False,True,4,uncertain,0,0,,0,False,0.000,[]
7,0.233,2,0.076,0.116,0.018,0.324,0.033,0.398,0.089,0.011,0.004,0.000,False,False,0,uncertain,0,0,,0,False,0.000,[]
7,0.233,3,0.645,0.798,0.092,0.867,0.007,0.913,0.719,0.479,0.329,0.600,True,True,3,visible,8,0,,0,False,0.000,[]
7,0.233,4,0.925,0.950,0.716,0.895,0.176,0.983,0.921,0.864,0.733,0.800,True,True,4,visible,8,0,,0,False,0.000,[]
8,0.267,1,0.067,0.150,0.003,0.982,0.201,0.998,0.958,0.995,0.977,0.200,False,True,4,uncertain,0,0,,0,False,0.000,[]
8,0.267,2,0.076,0.116,0.018,0.324,0.033,0.398,0.089,0.011,0.004,0.000,False,False,0,uncertain,0,0,,0,False,0.000,[]
8,0.267,3,0.645,0.798,0.092,0.867,0.007,0.913,0.719,0.479,0.329,0.600,True,True,3,visible,9,0,,0,False,0.000,[]
8,0.267,4,0.925,0.950,0.716,0.895,0.176,0.983,0.921,0.864,0.733,0.800,True,True,4,visible,9,0,,0,False,0.000,[]
9,0.300,1,0.083,0.182,0.004,0.984,0.205,0.999,0.962,0.996,0.980,0.200,False,True,4,uncertain,0,0,,0,False,0.000,[]
9,0.300,2,0.084,0.098,0.028,0.221,0.048,0.261,0.126,0.009,0.005,0.000,False,False,0,uncertain,0,0,,0,False,0.000,[]
9,0.300,3,0.797,0.901,0.133,0.935,0.007,0.944,0.809,0.484,0.336,0.600,True,True,3,visible,10,0,,0,False,0.000,[]
9,0.300,4,0.931,0.956,0.727,0.906,0.174,0.984,0.919,0.852,0.710,0.800,True,True,4,visible,10,0,,0,False,0.000,[]
10,0.333,1,0.083,0.182,0.004,0.984,0.205,0.999,0.962,0.996,0.980,0.200,False,True,4,uncertain,0,0,,0,False,0.000,[]
10,0.333,2,0.085,0.098,0.028,0.221,0.048,0.262,0.126,0.009,0.005,0.000,False,False,0,uncertain,0,0,,0,False,0.000,[]
10,0.333,3,0.797,0.902,0.134,0.935,0.007,0.944,0.809,0.483,0.335,0.600,True,True,3,visible,11,0,,0,False,0.000,[]
10,0.333,4,0.931,0.956,0.727,0.906,0.174,0.984,0.919,0.853,0.710,0.800,True,True,4,visible,11,0,,0,False,0.000,[]
11,0.367,1,0.083,0.182,0.004,0.984,0.205,0.999,0.962,0.996,0.980,0.200,False,True,4,uncertain,0,0,,0,False,0.000,[]
11,0.367,2,0.085,0.098,0.028,0.221,0.048,0.262,0.126,0.009,0.005,0.000,False,False,0,uncertain,0,0,,0,False,0.000,[]
11,0.367,3,0.797,0.902,0.134,0.935,0.007,0.944,0.809,0.483,0.335,0.600,True,True,3,visible,12,0,,0,False,0.000,[]
11,0.367,4,0.931,0.956,0.727,0.906,0.174,0.984,0.919,0.853,0.710,0.800,True,True,4,visible,12,0,,0,False,0.000,[]
